"Trade Name (Agent)",Sponsor,"Date of BT Designation Disclosure","Approval Date",Indication,Category,"FDA Status"
"Imcivree (setmelanotide)","Rhythm Pharmaceutical, Inc.",1/7/2016,6/16/2022,"For chronic weight management in adult and pediatric patients 6 years of age and older with Bardet-Biedl Syndrome (BBS).",Other,"FDA Approval"
Gedatolisib,"Celcuity Inc. ",7/18/2022,,"Treatment of patients with HR+/HER2- metastatic breast cancer whose disease progressed during treatment with a CDK4/6 therapy and a non-steroidal aromatase inhibitor.",Cancer,"Designation Granted"
"Dupixent (dupilumab)","Regeneron Pharmaceuticals Inc.",10/1/2016,6/7/2022,"Treatment of adult and pediatric patients ages 6 months and older with moderateto-severe atopic dermatitis whose disease is not adequately controlled with topical prescription therapies or when those therapies are not advisable.",Other,"FDA Approval"
"VIJOICE (alpelisib)","Novartis Pharmaceuticals Corp.",11/13/2019,4/5/2022,"Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy.",Cancer,"FDA Approval"
"Apretude (Cabotegravir)","ViiV Healthcare",11/17/2020,12/20/2021,"HIV-1 pre-exposure prophylaxis (PrEP) to reduce the risk of sexually acquired HIV-1 infection in at-risk adults and pediatric patients 12 to less than 18 years of age weighing at least 35 kg.","Infectious Disease","FDA Approval"
"Oxbryta (voxelotor)"," Global Blood Therapeutics, Inc.",1/3/2018,12/17/2021,"Treatment of sickle cell disease in adults and pediatric patients 4 years of age and older.","Rare Inherited Disorders","FDA Approval"
"Oxbryta (voxelotor)"," Global Blood Therapeutics, Inc.",1/3/2018,12/17/2021,"Treatment of sickle cell disease in pediatric patients 4 years of age and older.","Rare Inherited Disorders","FDA Approval"
"Orencia (abatacept)","Bristol-Myers Squibb Co.",12/4/2019,12/15/2021,"Prevention of moderate to severe acute graft-versus-host disease (GvHD) in hematopoietic stem cell transplants from unrelated donors.",Other,"FDA Approval"
"Fyarro (ABI-009)","Aadi Bioscience Inc.",1/3/2019,11/22/2021,"Treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa).",Cancer,"FDA Approval"
"CARVYKTI (ciltacabtagene autoleucel)","Janssen Pharmaceuticals Inc.",2022,2/28/2022,"Treatment of adult patients with relapsed or refractory multiple myeloma, who previously received a proteasome inhibitor (PI), an immunomodulatory agent (IMiD) and an anti-CD38 antibody.",Cancer,"FDA Approval"
"Dupixent (dupilumab)","Regeneron Pharmaceuticals Inc.",9/14/2020,5/20/2022," Treatment of patients 12 years and older with eosinophilic esophagitis (EoE).",Other,"FDA Approval"
"Tecartus (brexucabtagene autoleuce)","Kite Pharma Inc.",2016,7/24/2020,"Chimeric antigen receptor or CAR T cell therapy for the treatment of adult patients with relapsed or refractory mantle cell lymphoma or MCL.",Cancer,"FDA Approval"
Talquetamab,"Janssen Pharmaceuticals Inc.",6/29/2022,,"Treatment of adult patients with relapsed or refractory multiple myeloma, who have previously received at least 4 prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 antibody.",Cancer,"Designation Granted"
"Inaxaplin (VX-147)","Vertex Pharmaceuticals, Inc.",6/8/2022,,"Treatment for APOL1-mediated focal segmental glomerulosclerosis (FSGS).",Other,"Designation Granted"
"Efanesoctocog alfa","Sanofi and Sobi",6/1/2022,,"Treatment of people with hemophilia A.",Other,"Designation Granted"
TMB-001,"Timber Pharmaceuticals, Inc.",5/31/2022,,"Treatment of congenital ichthyosis (CI). ",Other,"Designation Granted"
Repotrectinib,"Turning Point Therapeutics, Inc.",5/10/2022,,"Treatment of patients with ROS1-positive metastatic non-small cell lung cancer (NSCLC) who have been previously treated with one ROS1 tyrosine kinase inhibitor and who have not received prior platinum-based chemotherapy.",Cancer,"Designation Granted"
"ENHERTU (fam-trastuzumab deruxtecan-nxki)","AstraZeneca and Daiichi Sankyo Co.",4/26/2022,5/4/2022,"Treatment of adult patients with unresectable or metastatic HER2 low (IHC 1+ or IHC 2+/ISH-negative) breast cancer who have received a prior systemic therapy in the metastatic setting or developed disease recurrence during or within six months of completing adjuvant chemotherapy.",Cancer,"FDA Approval"
"CMS I-neb",Zambon,4/21/2022,,"Treatment for the reduction in the incidence of pulmonary exacerbations in adult patients with non-cystic fibrosis bronchiectasis (NCFB) colonized with P. aeruginosa.",Other,"Designation Granted"
V116,"Merck & Co., Inc.",4/14/2022,,"Vaccine for the prevention of invasive pneumococcal disease (IPD) and pneumococcal pneumonia caused by Streptococcus pneumoniae serotypes 3, 6A/C, 7F, 8, 9N, 10A, 11A, 12F, 15A, 15B/C, 16F, 17F, 19A, 20, 22F, 23A, 23B, 24F, 31, 33F, 35B in adults 18 years of age and older.","Infectious Disease","Designation Granted"
"EDSIVO™ (celiprolol)","Acer Therapeutics Inc.",4/4/2022,,"Treatment of patients with COL3A1-positive vascular Ehlers-Danlos syndrome (vEDS).",Other,"Designation Granted"
"PF-06928316 (RSVpreF)","Pfizer Inc.",3/24/2022,,"Vaccine for the prevention of lower respiratory tract disease caused by RSV in individuals 60 years of age or older.","Infectious Disease","Designation Granted"
"PF-06928316 (RSVpreF)","Pfizer Inc.",03/02/2022,,"Vaccine for the prevention of RSV-associated lower respiratory tract illness in infants from birth up to six months of age by active immunization of pregnant women.","Infectious Disease","Designation Granted"
"BI 1015550","Boehringer Ingelheim",02/24/2022,,"Treatment of idiopathic pulmonary fibrosis (IPF).",Other,"Designation Granted"
"MVA-BN RSV","Bavarian Nordis A/S",2/14/2022,,"Active immunization for prevention of lower respiratory tract disease caused by respiratory syncytial virus (RSV) in adults aged 60 years or older.","Infectious Disease","Designation Granted"
"Farxiga® (dapagliflozin)",AstraZeneca,1/29/2022,,"Treatment of patients with chronic kidney disease (CKD) whether or not they have type 2 diabetes.",Other,"Designation Granted"
"DZD9008 (Sunvozertinib)","Dizal Pharmaceutical Co., Ltd.",1/27/2022,,"Treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon20 insertion mutations whose disease has progressed on or after platinum-based chemotherapy.",Cancer,"Designation Granted"
CLN-081,"Cullinan Oncology, Inc.",1/04/2022,,"Treatment of patients with locally advanced or metastatic non-small cell lung cancer (“NSCLC”) harboring epidermal growth factor (“EGFR”) exon 20 insertion mutations who have previously received platinum-based systemic chemotherapy.",Cancer,"Designation Granted"
"Vedotin (Teliso-V)","AbbVie Inc.",1/04/2022,,"Treatment of patients with advanced/metastatic epidermal growth factor receptor (EGFR) wild type, nonsquamous non-small cell lung cancer (NSCLC) with high levels of c-Met overexpression whose disease has progressed on or after platinum-based therapy.",Cancer,"Designation Granted"
"Patritumab Deruxtecan (HER3-DXd)","Daiichi Sankyo Company, Ltd.",12/23/2021,,"Treatment of patients with metastatic or locally advanced EGFR-mutated non-small cell lung cancer (NSCLC) with disease progression on or after treatment with a third-generation tyrosine kinase inhibitor (TKI) and platinum-based therapies.",Cancer,"Designation Granted"
Aficamten,"Cytokinetics, Inc.",12/09/2021,,"Treatment of symptomatic obstructive hypertrophic cardiomyopathy (oHCM).",Cardiovascular,"Designation Granted"
Gantenerumab,"Genentech Inc.",10/08/2021,,"Treatment of people living with Alzheimer’s disease (AD).",Other,"Designation Granted"
"Tecartus (brexucabtagene autoleucel)","Kite Pharma Inc.",2017,10/01/2021,"Treatment of adult patients (18 years and older) with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).",Cancer,"FDA Approval"
Repotrectinib,"Zai Lab Limited and Turning Point Therapeutics, Inc.",10/04/2021,,"Treatment of patients with advanced solid tumors that have an NTRK gene fusion who have progressed following treatment with one or two prior TRK tyrosine kinase inhibitors, with or without prior chemotherapy, and have no satisfactory alternative treatment",Cancer,"Designation Granted"
"ENHERTU (fam-trastuzumab deruxtecan-nxki)","AstraZeneca and Daiichi Sankyo Co.",10/04/2021,,"Treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received one or more prior anti-HER2-based regimens.",Cancer,"Designation Granted"
"EXKIVITY (mobocertinib)","Takeda Pharmaceutical Company Ltd.",4/27/2020,9/15/2021,"Treatment of NSCLC Patients with EGFR Exon 20 Insertion Mutations",Cancer,"FDA Approval"
"JARDIANCE (empagliflozin)","Eli Lilly and Co.",9/09/2021,,"Investigational treatment of heart failure with preserved ejection fraction",Cardiovascular,"Designation Granted"
"Toripalimab in combination with Gemcitabine and Cisplatin","Shanghai Junshi Biosciences Co., Ltd. and Coherus BioSciences, Inc.",8/12/2021,,"First-line treatment of recurrent or metastatic nasopharyngeal carcinoma",Cancer,"Designation Granted"
"Nexviazyme (avalglucosidase alfa-ngpt)",Sanofi/Genzyme,11/18/2020,8/06/2021,"Treatment of patients one year of age and older with late-onset Pompe disease.",Other,"FDA Approval"
Avexitide,"Eiger BioPharmaceuticals Inc.",8/05/2021,,"Treatment of congenital hyperinsulism (HI).",Other,"Designation Granted"
ARO-AAT,"Arrowhead Pharmaceuticals Inc.",7/29/2021,,"Treatment for the rare genetic liver disease associated with alpha-1 antitrypsin deficiency (AATD).","Rare Inherited Disorders","Designation Granted"
TAK-994,"Takeda Pharmaceutical Company Ltd.",7/28/2021,,"Treatment of excessive daytime sleepiness (EDS) in patients with narcolepsy type 1 (NT1).",Other,"Designation Granted"
"Venclexta (venetoclax)","Genentech Inc.",7/21/2021,,"Treatment of adult patients with previously untreated intermediate, high- and very high-risk myelodysplastic syndromes (MDS) based on the revised International Prognostic Scoring System (IPSS-R).",Other,"Designation Granted"
"ALK-001 (C20-D3-vitamin A)","Alkeus Pharmaceuticals Inc.",7/14/2021,,"Treatment of Stargardt Disease.",Other,"Designation Granted"
ASP3772,"Affinivax Inc. and Astellas Pharma Inc.",7/13/2021,,"Vaccine candidate targeting Streptococcus pneumoniae designed to offer both B-cell (antibody) and T-cell immune protection.","Infectious Disease","Designation Granted"
VLA1553,"Valneva SE",7/07/2021,,"Chikungunya Vaccine","Infectious Disease","Designation Granted"
Orelabrutinib,"InnoCare Pharma Ltd.",6/28/2021,,"Treatment of relapsed or refractory mantle cell lymphoma (R/R MCL).",Cancer,"Designation Granted"
Adagrasib,"Mirata Therapeutics Inc.",6/25/2021,,"Treatment of non-small cell lung cancer (NSCLC) in patients harboring the KRASG12C mutation after systemic therapy.",Cancer,"Designation Granted"
Donanemab,"Eli Lilly and Co.",6/25/2021,,"Investigational antibody therapy for Alzheimer's disease (AD).",Other,"Designation Granted"
"Lecanemab (BAN2401)","Eisai Co. and Biogen Inc.",6/23/2021,,"Investigational anti-amyloid beta (Aβ) protofibril antibody for the treatment of Alzheimer's disease.",Other,"Designation Granted"
"Pluvicto (Lu-PSMA-617)","Novartis Pharmaceuticals Corporation",6/16/2021,4/23/2022,"Treatment for advanced castration-resistant prostate cancer.",Cancer,"FDA Approval"
"Ayvakit (Avapritinib)","Blueprint Medicines Corporation",1/12/2021,6/16/2021,"Treatment for patients with advanced systemic mastocytosis (AdvSM), including patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with an associated hematological neoplasm (SM-AHN), and mast cell leukemia (MCL).",Other,"FDA Approval"
"VS-6766 in combination with Defactinib","Verastem, Inc",5/24/2021,,"Treatment of all patients with recurrent low-grade serous ovarian cancer (LGSOC) regardless of KRAS status after one or more prior lines of therapy, including platinum-based chemotherapy.",Cancer,"Designation Granted"
Rusfertide,"Protagonist Therapeutics, Inc.",6/03/2021,,"Treatment of patients with polycythemia vera (PV) for the reduction of erythrocytosis in those patients who do not require further treatment for thrombocytosis and/or leukocytosis.",Other,"Designation Granted"
Teclistamab,"Janssen Pharmaceuticals, Inc",6/01/2021,,"Treatment for patients with relapsed/refractory multiple myeloma.",Cancer,"Designation Granted"
Bemarituzumab,"Amgen Inc.",4/19/2021,,"Treatment for patients with fibroblast growth factor receptor 2b (FGFR2b) overexpressing and human epidermal growth factor receptor 2 (HER2)-negative metastatic and locally advanced gastric and gastroesophageal (GEJ) adenocarcinoma in combination with mod",Cancer,"Designation Granted"
TTP399,"vTv Therapeutics Inc.",4/13/2021,,"Adjunctive therapy to insulin for the treatment of type 1 diabetes",Other,"Designation Granted"
"Futibatinib (TAS-120)","Taiho Oncology, Inc. and Taiho Pharmaceutical Co., Ltd",4/01/2021,,"Treatment of patients with previously treated locally advanced or metastatic cholangiocarcinoma harboring FGFR2 gene rearrangements, including gene fusions",Cancer,"Designation Granted"
"Parsaclisib (IBI376)","Innovent Biologics, Inc.",3/21/2021,,"Treatment of patients with relapsed/refractory follicular lymphoma (FL). IBI376 is a phosphatidylinositol 3-kinase delta (PI3Kδ) inhibitor originally discovered by Incyte. Innovent owns the rights to develop and commercialize Parsaclisib in greater China.",Cancer,"Designation Granted"
BXCL501,"BioXcel Therapeutics, Inc.",3/15/2021,,"Acute treatment of agitation associated with dementia",Other,"Designation Granted"
"Nulibry (fosdenopterin)","BridgeBio Pharma, Inc.",2/26/2021,2/26/2021,"Treatment for molybdenum Cofactor Deficiency (MoCD) Type A","Rare Inherited Disorders","FDA Approval"
"Cabozantinib (CABOMETYX®)","Exelixis, Inc.",2/25/2021,9/17/2021,"Treatment for patients with differentiated thyroid cancer (DTC) that has progressed following prior therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate). ",Cancer,"FDA Approval"
Tipifarnib,"Kura Oncology, Inc.",2/24/2021,,"Treatment of patients with recurrent or metastatic HRAS mutant head and neck squamous cell carcinoma (HNSCC) with variant allele frequency ≥ 20% after disease progression on platinum-based chemotherapy.",Cancer,"Designation Granted"
"Tebentafusp (IMCgp100)",Immunocore,2/19/2021,1/25/2022,"Treatment of HLA-A*02:01-positive adult patients with unresectable or metastatic uveal melanoma (mUM).",Cancer,"FDA Approval"
"Scemblix (Asciminib)","Novartis International AG",2/08/2021,10/29/2021,"Treatment of adult patients with Ph+ CML in CP harboring the T315I mutation.",Cancer,"FDA Approval"
"Scemblix (Asciminib)","Novartis International AG",2/08/2021,10/29/2021,"Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs).",Cancer,"FDA Approval"
"Enhertu (trastuzumab deruxtecan)","AstraZeneca plc and Daiichi Sankyo Co.",5/11/2020,1/15/2021,"Treatment of adult patients with previously treated HER2 positive advanced gastric cancer",Cancer,"FDA Approval"
"DARZALEX FASPRO® (daratumumab and hyaluronidase-fihj)","Janssen Biotech, Inc.",2013,1/15/2021,"Treatment of adult patients with newly diagnosed light-chain (AL) amyloidosis.",Other,"FDA Approval"
"Ligelizumab (QGE031)","Novartis International AG",1/14/2021,,"Treatment of chronic spontaneous urticaria (CSU), also known as chronic idiopathic urticaria (CIU), in patients who have an inadequate response to H1-antihistamine treatment.","Rare Inherited Disorders","Designation Granted"
"APL-106 (uproleselan)","Apollomics, Inc",1/07/2021,,"Treatment of relapsed/refractory acute myeloid leukemia (AML).",Cancer,"Designation Granted"
Chiauranib,"Shenzhen Chipscreen Biosciences Co., Ltd",1/05/2021,,"""Treatment of patients with small cell lung cancer (SCLC) with disease progression or recurrence after two lines of prior systematic chemotherapy.  """,Cancer,"Designation Granted"
"Tiragolumab in combination with Tecentriq","The Roche Group",1/05/2021,,"First-line treatment of people with metastatic non-small cell lung cancer (NSCLC) whose tumours have high PD-L1 expression with no EGFR or ALK genomic tumour aberrations",Cancer,"Designation Granted"
"CNCT19 (CD19 CAR-T)","CASI Pharmaceuticals, Inc. ",12/23/2020,,"A potential CD19 CAR-T therapy for the treatment of adults with relapsed/refractory B-cell acute lymphoblastic leukemia (B-ALL)",Cancer,"Designation Granted"
"IO102 and IO103 with anti-PD-1 mAb","IO Biotech",12/15/2020,,"Patients with unresectable/ metastatic melanoma",Cancer,"Designation Granted"
"IO102 and IO103 with anti-PD-1 mAb","IO Biotech",12/15/2020,,"Patients with unresectable/ metastatic melanoma",Cancer,"Designation Granted"
"CUTX-101 (Copper Histidinate)","Cyprium Therapeutics, Inc.",12/15/2020,,"Treatment of Menkes Disease","Rare Inherited Disorders","Designation Granted"
"Blenrep (BELANTAMAB MAFODOTIN-BLMF)","GlaxoSmithKline Intellectual Property Development LTD England",11/02/2017,8/05/2020,"Treatment of adults with relapsed or refractory multiple myeloma who have received at least four prior therapies including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent",Cancer,"FDA Approval"
"Avastin (Bevacizumab)","GENENTECH INC",7/18/2018,5/29/2020,"In combination with atezolizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy",Cancer,"FDA Approval"
"Pegloprastide (AVB-620)","Avelas Biosciences",12/14/2020,,"Intraoperative detection and visualization of positive margins during breast cancer surgery.",Cancer,"Designation Granted"
